source_record_id,role,repository,accession,url,is_direct,file_type,size_bytes,size_basis,count_in_storage,retrieved_date,notes
humanbrain,raw,ENA,SRR26212872,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/072/SRR26212872/SRR26212872_1.fastq.gz,true,FASTQ,20983792910,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212872,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/072/SRR26212872/SRR26212872_2.fastq.gz,true,FASTQ,20903813668,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212876,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/076/SRR26212876/SRR26212876_1.fastq.gz,true,FASTQ,10809501060,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212876,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/076/SRR26212876/SRR26212876_2.fastq.gz,true,FASTQ,10737594831,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212878,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/078/SRR26212878/SRR26212878_1.fastq.gz,true,FASTQ,25570804445,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212878,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/078/SRR26212878/SRR26212878_2.fastq.gz,true,FASTQ,25365740549,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212881,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/081/SRR26212881/SRR26212881_1.fastq.gz,true,FASTQ,14072126801,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212881,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/081/SRR26212881/SRR26212881_2.fastq.gz,true,FASTQ,13976303898,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212883,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/083/SRR26212883/SRR26212883_1.fastq.gz,true,FASTQ,5402633971,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212883,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/083/SRR26212883/SRR26212883_2.fastq.gz,true,FASTQ,5358718583,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212885,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/085/SRR26212885/SRR26212885_1.fastq.gz,true,FASTQ,19711988861,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212885,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/085/SRR26212885/SRR26212885_2.fastq.gz,true,FASTQ,19470847973,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212886,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/086/SRR26212886/SRR26212886_1.fastq.gz,true,FASTQ,6571189585,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212886,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/086/SRR26212886/SRR26212886_2.fastq.gz,true,FASTQ,6518486239,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212890,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/090/SRR26212890/SRR26212890_1.fastq.gz,true,FASTQ,20026492423,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212890,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/090/SRR26212890/SRR26212890_2.fastq.gz,true,FASTQ,19949828153,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212899,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/099/SRR26212899/SRR26212899_1.fastq.gz,true,FASTQ,23498427901,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212899,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/099/SRR26212899/SRR26212899_2.fastq.gz,true,FASTQ,23360472596,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212902,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/002/SRR26212902/SRR26212902_1.fastq.gz,true,FASTQ,7471486270,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212902,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/002/SRR26212902/SRR26212902_2.fastq.gz,true,FASTQ,7395055490,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212903,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/003/SRR26212903/SRR26212903_1.fastq.gz,true,FASTQ,15826841524,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212903,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/003/SRR26212903/SRR26212903_2.fastq.gz,true,FASTQ,15720718303,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212904,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/004/SRR26212904/SRR26212904_1.fastq.gz,true,FASTQ,8158428569,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212904,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/004/SRR26212904/SRR26212904_2.fastq.gz,true,FASTQ,8112573671,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212911,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/011/SRR26212911/SRR26212911_1.fastq.gz,true,FASTQ,9056315495,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212911,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/011/SRR26212911/SRR26212911_2.fastq.gz,true,FASTQ,9011315560,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212913,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/013/SRR26212913/SRR26212913_1.fastq.gz,true,FASTQ,3493896586,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212913,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/013/SRR26212913/SRR26212913_2.fastq.gz,true,FASTQ,3483250149,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212916,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26212916/SRR26212916_1.fastq.gz,true,FASTQ,6754014871,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212916,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26212916/SRR26212916_2.fastq.gz,true,FASTQ,6676913792,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212920,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/020/SRR26212920/SRR26212920_1.fastq.gz,true,FASTQ,13747519270,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212920,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/020/SRR26212920/SRR26212920_2.fastq.gz,true,FASTQ,13632356485,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212925,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/025/SRR26212925/SRR26212925_1.fastq.gz,true,FASTQ,9788439692,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212925,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/025/SRR26212925/SRR26212925_2.fastq.gz,true,FASTQ,9749429641,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212931,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/031/SRR26212931/SRR26212931_1.fastq.gz,true,FASTQ,14899779697,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212931,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/031/SRR26212931/SRR26212931_2.fastq.gz,true,FASTQ,14755025657,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212936,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/036/SRR26212936/SRR26212936_1.fastq.gz,true,FASTQ,16642818080,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212936,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/036/SRR26212936/SRR26212936_2.fastq.gz,true,FASTQ,16592558438,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212938,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/038/SRR26212938/SRR26212938_1.fastq.gz,true,FASTQ,7077432355,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212938,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/038/SRR26212938/SRR26212938_2.fastq.gz,true,FASTQ,7050115093,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212939,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/039/SRR26212939/SRR26212939_1.fastq.gz,true,FASTQ,13727567003,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212939,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/039/SRR26212939/SRR26212939_2.fastq.gz,true,FASTQ,13689345033,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212815,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/015/SRR26212815/SRR26212815_1.fastq.gz,true,FASTQ,6455715225,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212815,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/015/SRR26212815/SRR26212815_2.fastq.gz,true,FASTQ,6398091827,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212816,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26212816/SRR26212816_1.fastq.gz,true,FASTQ,29696756086,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212816,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26212816/SRR26212816_2.fastq.gz,true,FASTQ,29416259912,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212818,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/018/SRR26212818/SRR26212818_1.fastq.gz,true,FASTQ,9452540581,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
