dataset_id,dataset_version_id,multiome_cell_count,multiome_primary_cell_count
6725ee8e-ef5b-4e68-8901-61bd14a1fe73,40f7635e-7fcd-4ede-82e9-0d32753a6b82,65825,65825
67b6b9ac-b841-42ce-b2d4-ed2ec12327bd,777cf301-2f1a-4429-9bb9-19173ba586d2,598289,598289
680029ee-29b3-4e03-bdb3-47d163540ef0,937bc97a-a6b2-4ee2-ade6-43eb436b0f30,955,0
6cda07c7-5d7a-41ba-9799-5bb73da25a60,0e107eec-5fe6-4eea-b2b3-e77b98fdfbad,249,0
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,c2b49431-9288-4d94-8ca5-f6723b72217e,86187,86187
74cff64f-9da9-4b2a-9b3b-8a04a1598040,7a4dd01b-96de-45cd-b4ac-c5892a8dc2bf,39339,39339
74d584f0-74fc-482e-b944-e76f29c1ab85,c4675fdb-f3d1-45f7-85b2-ab7e70f5e4a1,4508,0
75e6eee5-d0e3-4291-9360-f288ffe6c7c4,2bc996ec-ff6c-4da0-8cbd-70df3cc8bcbc,2174,0
79d485a8-b8b1-49f2-85aa-c44e5206aa53,b2e8ac41-9b16-4bba-b54c-23077bda35de,2592,0
7ff0197b-d175-49bf-b4fa-150fe0995d93,06b8d9c2-0bde-48bd-88d9-730993fc95e2,784561,784561
805832dc-92fc-4445-9016-067b1baa282d,e815de8f-359a-4b47-b29c-a05990b92f9b,3294,0
81e91ff8-f619-4ad1-a0c3-b45e1dc63f68,51e6c0b9-a11d-40d1-8818-b1f96b701b3f,186,0
835fa5c4-3278-4abd-b0bd-71d7f498b2dc,f8dbb700-1e9c-4a96-a45c-b360a5cc9176,77358,77358
867757c1-3b1a-49d9-a0cd-17767eb160cc,0fe5eee4-380d-4bd9-8735-ada5e03021d9,46957,46957
8a8aedcb-5bb3-453d-a9f0-f37951ae1515,e54d4c11-5f48-4c00-8462-424cb6559eb2,1441,0
8c6ed88f-11bf-4159-bad7-ff41fb1e1eca,be12502e-5883-45da-b07a-3980c0bc6b04,1035,0
